GEOID,residuals_deviance
44007013600,0.16423933133601432
44007013701,1.0776134534720974
44007013702,0.9552126028043701
44007013800,-1.3734245746558749
44007013900,0.001772455420187898
44007014000,-1.5354037441869801
44007014100,-0.36899389406367544
44007014200,3.425469758764573
44007014300,-0.5499768724430074
44007014400,-0.12998659854172911
44007014501,-0.16599770684041162
44007014502,-1.3566936845258817
44007014600,-1.7069330657235855
44007014700,-0.3359196316367165
44007014800,-0.7410993913049619
44007015000,-0.9092772627296174
44007015100,-1.0156902400162768
44007015200,-0.7526654916163594
44007015300,0.6330919234404487
44007015500,0.013862289979689826
44007015800,-0.25271611943615346
44007015900,-0.5473191880543876
44007016000,1.0907855118335241
44007016100,1.8789205447098634
44007016300,-0.4567437257209958
44007016400,-1.1000726971555144
44007016500,-0.12601967425271965
44007016600,0.0036036093290927273
44007016700,0.13946505292658495
44007016800,0.9430372076188165
44007016900,-0.15552427524175028
44007017000,0.2766969167644514
44007017100,0.11209337603631662
44007017300,-0.16675780651030817
44007017400,-0.23842792292016324
44007017500,1.7988936527151098
44007017600,0.39133770661415507
44007017700,-0.0765838664344745
44007017900,-0.7943043861909858
44007018000,-0.8459595725890289
44007018100,1.2168697038078287
44007018200,-0.3498244732395584
44007018400,0.22689916705136287
44007018500,0.20357511043343754
44009041500,1.743443254486714
44009050102,-0.5087792438076139
44009050103,0.6639067881322169
44009050104,0.48513449953911814
44009050301,-0.6576045041164338
44009050302,0.04665687748654889
44009050401,-0.5898626456396441
44009050402,-0.09481607114765517
44009050500,1.5602091230122246
44009050600,0.39300119790963456
44009050801,-0.19424532170971562
44009050902,1.3092646828966683
44009051000,-0.3758711227519952
44009051102,0.046430009161502236
44009051201,-1.2911581470890316
44009051202,-1.4557648057004906
44009051302,-0.15123265502626076
44009051304,-0.2643974117711706
44009051305,-0.08328446938761666
44009051306,-0.8641920715804365
44009051502,-1.7571751505639905
44009051503,0.20500279582394496
44009051504,-1.1901052102979115
