GEOID,suicide_count,pop_total,pct_male,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65p,median_age,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,per_capita_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,not_in_labor_force_share_16p,edu_lt_hs_25p,edu_hs_grad_25p,edu_some_college_25p,edu_ba_plus_25p,edu_grad_prof_25p,hh_total,hh_single_person_share,hh_married_couple_share,hh_female_householder_no_spouse_share,avg_hh_size,marital_never_married_share_15p,marital_divorced_share_15p,marital_separated_share_15p,marital_married_share_15p,housing_occupied_share,housing_vacancy_rate,homeownership_rate,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,foreign_born_share,uninsured_rate,veteran_share_18p
44007016600,1,2094,0.443170965,0.161413563,0.198185291,0.329512894,0.126074499,41.5,0.294651385,0.421680993,0.235434575,0.00191022,0.029608405,0.011938873,93889,38156,0.148409894,0.340136054,0.21969697,0.3186,0.078341014,0.742363112,0.086180124,0.257636888,0.141223941,0.158036315,0.331540013,0.305985205,0.136516476,868,0.238479263,0.389400922,0.355990783,2.26,0.195965418,0.003458213,0.037463977,0.437463977,0.955947137,0.044052863,0.323732719,0.676267281,0,0.189097104,0.093696763,0,0.267908309,0.015648662,0.024604569
44007016700,2,3801,0.473296501,0.175480137,0.234148908,0.218626677,0.097079716,32.4,0.372533544,0.309392265,0.14732965,0.003157064,0.006314128,0.053670087,49529,26486,0.167686984,0.361904762,0.287262873,0.4419,0.091370558,0.742402827,0.144693003,0.257597173,0.136458769,0.26329008,0.198409376,0.313101716,0.082461281,1576,0.408629442,0.224619289,0.312817259,2.39,0.206007067,0.004946996,0.065724382,0.455477032,0.980709396,0.019290604,0.296319797,0.703680203,0,0.57619477,0.277727683,0.053233963,0.231518022,0.071033938,0.026478056
44007016800,3,3349,0.417438041,0.132278292,0.174977605,0.286354136,0.193490594,41.8,0.048074052,0.819647656,0.036428785,0,0.009853688,0.004478949,90776,37050,0.083459788,0.116363636,0.237654321,0.3266,0.025121556,0.696230599,0.037960954,0.303769401,0.138157895,0.339226974,0.201891447,0.191200658,0.064555921,1234,0.342787682,0.448946515,0.156401945,2.71,0.177026536,0.017448201,0.023627772,0.434023991,0.946319018,0.053680982,0.759319287,0.240680713,0.007293355,0.326599327,0.326599327,0,0.120633025,0.023874282,0.066255778
44007016900,1,1930,0.534715026,0.084455959,0.286010363,0.265284974,0.184455959,40.7,0.117098446,0.776683938,0.023316062,0,0.006217617,0.035751295,107784,49290,0.008826584,0,0,0.3026,0.107428571,0.762376238,0.025162338,0.237623762,0.078755791,0.201191264,0.286565189,0.30443415,0.110522833,875,0.346285714,0.602285714,0.051428571,2.2,0.115692308,0.009846154,0.018461538,0.518153846,0.940860215,0.059139785,0.785142857,0.214857143,0,0.153005464,0.120218579,0.003661088,0.144041451,0.03219107,0.096020215
44007017000,3,4362,0.498853737,0.174232004,0.234066942,0.254011921,0.181109583,40.5,0.277624943,0.499312242,0.048372306,0,0.051352591,0.001834021,73406,35794,0.075910693,0.027863777,0.1,0.4041,0.030451332,0.629270917,0.03277972,0.370729083,0.127615063,0.276150628,0.341303048,0.184100418,0.03048416,1839,0.401305057,0.335508428,0.184339315,2.31,0.225697159,0.004951785,0.046390409,0.492311702,0.927382753,0.072617247,0.603045133,0.396954867,0.012506797,0.493055556,0.343055556,0,0.225355342,0.026097272,0.044101433
44007017100,3,4744,0.514966273,0.111298482,0.234190556,0.318086003,0.114038786,42,0.26222597,0.501475548,0.062605396,0.006323777,0.020236088,0,82266,35289,0.133205864,0.452950558,0.330868762,0.3778,0.016657711,0.74116095,0.076895692,0.25883905,0.20212766,0.309397163,0.208628842,0.189125296,0.036643026,1861,0.309511016,0.425577646,0.200967222,2.51,0.174563591,0.004738155,0.04713217,0.471072319,0.861973136,0.138026864,0.590005373,0.409994627,0.012896292,0.316216216,0.144594595,0.018549747,0.28267285,0.025918844,0.071293033
44007017300,2,3645,0.531412894,0.10617284,0.301783265,0.199451303,0.070233196,32.5,0.308641975,0.604389575,0.013717421,0,0.030727023,0.01399177,81250,30758,0.17907556,0.542503864,0.1796875,0.3735,0.089187056,0.664845884,0.051056338,0.335154116,0.131168831,0.332900433,0.287012987,0.186147186,0.071428571,1267,0.342541436,0.316495659,0.26519337,2.87,0.254355401,0.003484321,0.081300813,0.541231127,0.831910703,0.168089297,0.330702447,0.669297553,0.004735596,0.221402214,0.120541205,0,0.103429355,0.042249657,0.089068826
44007017400,2,3869,0.483329026,0.135435513,0.284052727,0.168518997,0.126906177,33.6,0.341690359,0.385887826,0.089170328,0,0.058413027,0.001550788,48040,23745,0.283364288,0.413857678,0.297352342,0.397,0.148242812,0.644345746,0.092788971,0.355654254,0.193071234,0.271311794,0.26508369,0.191903464,0.005838848,1565,0.341214058,0.249201278,0.260702875,2.4,0.18379763,0.023054755,0.081652257,0.453410183,0.864163446,0.135836554,0.387220447,0.612779553,0.008945687,0.574257426,0.159515952,0.032224532,0.249935384,0.023588656,0.029645698
44007017500,5,3518,0.468163729,0.139852189,0.235361001,0.275156339,0.104604889,36.5,0.173678226,0.626208073,0.039795338,0.000284252,0.099204093,0.013928368,70160,32592,0.172541217,0.31630972,0.168478261,0.3753,0.161940299,0.640862496,0.081632653,0.359137504,0.155136268,0.28427673,0.309853249,0.180293501,0.031027254,1340,0.373880597,0.306716418,0.176119403,2.61,0.243697479,0.005252101,0.052521008,0.468137255,0.923501034,0.076498966,0.479850746,0.520149254,0,0.637878788,0.334848485,0,0.082433201,0.0352473,0.024472892
44007017600,2,2894,0.496890117,0.175190048,0.175881133,0.309606082,0.073946095,32.6,0.395991707,0.389771942,0.120594333,0,0.034208708,0,50263,25406,0.206167706,0.45210084,0.200934579,0.3963,0.114678899,0.5751693,0.021193093,0.4248307,0.166576819,0.303504043,0.372506739,0.077628032,0.014016173,1090,0.449541284,0.146788991,0.375229358,2.57,0.215625,0.012053571,0.062946429,0.472321429,0.917508418,0.082491582,0.175229358,0.824770642,0,0.528878822,0.32389581,0.015608741,0.133033863,0.017277125,0.057855127
